ID,Name,Street,City,State,Zip,Address,latitude,longitude
111,Georgia Catalog Sales,945 East Paces Ferry Road Northeast,Atlanta,GA,30326,"945 East Paces Ferry Road Northeast,Atlanta,GA,30326 ",33.8465077,-84.3560978
112,Georgia Catalog Sales,945 East Paces Ferry Road Northeast # B,Atlanta,GA,30326,"945 East Paces Ferry Road Northeast # B,Atlanta,GA,30326 ",33.8465077,-84.3560978
113,Georgia Catalog Sales 14,945 East Paces Ferry Road Northeast,Atlanta,GA,30326,"945 East Paces Ferry Road Northeast,Atlanta,GA,30326 ",33.8465077,-84.3560978
114,Globalx,270 Peachtree Street Northwest,Atlanta,GA,30303,"270 Peachtree Street Northwest,Atlanta,GA,30303 ",33.7619055,-84.3879567
115,Greenbriar Check Cashiers,2975 Headland Drive Southwest,Atlanta,GA,30311,"2975 Headland Drive Southwest,Atlanta,GA,30311 ",33.6917093,-84.4873661
116,IMM CHECK CASHERS,2975 Headland Dr Sw,Atlanta,GA,30311,"2975 Headland Dr Sw,Atlanta,GA,30311 ",33.6917093,-84.4873661
117,Interlink Financial Services,233 Mitchell Street Southwest,Atlanta,GA,30303,"233 Mitchell Street Southwest,Atlanta,GA,30303 ",33.752312,-84.3952708
118,International Check Cashing,5600 Buford Hwy,Atlanta,GA,30340,"5600 Buford Hwy,Atlanta,GA,30340 ",33.9057595,-84.2742391
119,International Check Cashing Services,5193 Pechtre Indstrl Boulevard,Atlanta,GA,30341,"5193 Pechtre Indstrl Boulevard,Atlanta,GA,30341 ",33.889743,-84.309654
120,JOY FINANCIAL SERVICES INC,2609 Shallowford Rd Ne,Atlanta,GA,30345,"2609 Shallowford Rd Ne,Atlanta,GA,30345 ",33.8634602,-84.2871625
121,Lakewood Check Cashing,1959 Lakewood Avenue Southeast,Atlanta,GA,30315,"1959 Lakewood Avenue Southeast,Atlanta,GA,30315 ",33.7026126,-84.384852
122,LAKEWOOD CHECK CASHING,1959 Lakewood Ave Se,Atlanta,GA,30315,"1959 Lakewood Ave Se,Atlanta,GA,30315 ",33.7026126,-84.384852
